"Country","Bank / Lender","Type","Product Name","Interest Rate (approx., 2026)","Collateral Required","Collateral / Market Value Requirement","Max Loan Amount","Notes","Source"
"India","State Bank of India (SBI)","Domestic bank","SBI Education Loan (SEVP US universities)","10.15% (secured); 11.00%-11.50% (collateral-free variant)","Optional above threshold","Property value >= loan amount when secured","Up to INR 50 lakh (collateral-free)","0.50% rate discount for female applicants","gyandhan.com; nomadcredit.com"
"India","Bank of Baroda / Canara Bank / Punjab National Bank (PSU banks)","Domestic bank","Education Loan for Abroad Studies","8%-10.5% (secured)","Required above ~INR 7.5-10 lakh","Property or fixed deposit equal to loan amount","INR 20-40 lakh typical for USA programs","Lower rates than private lenders but slower processing","gyandhan.com"
"India","HDFC Credila / Avanse (NBFCs)","Domestic NBFC","Education Loan","10.5%-13%","Optional (higher rate if unsecured)","Property/FD when secured","Up to INR 1.5 crore","Faster approval than PSU banks","forbes.com/advisor/in"
"Nigeria","Commercial banks (GTBank/Access/Sterling-type products)","Domestic bank","Personal/Education Loan","~23% average","Required","Land title, home deed, or fixed deposit","Varies","Requires parent/guardian co-signer; not a common dedicated product","nigeriahousingmarket.com"
"Nigeria","MPOWER Financing","International lender","No-collateral student loan","From 9.99% fixed","Not required","N/A - no cosigner or collateral","US$2,001 - US$100,000","10-year term; underwrites on future earning potential","mpowerfinancing.com"
"Pakistan","HBL (Habib Bank Limited)","Domestic bank","Student Loan for Study Abroad","Variable (bank discretion)","Required for larger loans","Co-signer (parent/guardian) plus collateral","Varies","Covers tuition, living, and travel costs","englopak.com"
"Pakistan","National/commercial banks (NBP, Askari-type products)","Domestic bank","Education Loan","Floating from 8.10%; fixed from 9.10%","Often required","Property-based collateral common for higher amounts","Varies","Data limited publicly - confirm directly with bank","coinchemistry.co"
"Pakistan","MPOWER Financing / Prodigy Finance","International lender","No-collateral student loan","From ~9.99%+","Not required","N/A","Up to US$100,000","Alternative to domestic banks for F-1 students","mpowerfinancing.com"
"Ghana","GCB Bank / Stanbic Bank / Ecobank","Domestic bank","Personal/Education Loan","10%-20%","Required (Ecobank requires guarantor with stable income)","Property or guarantor income-based","Varies","Rates vary widely by bank and applicant profile","consultwithibs.com"
"Ghana","MPOWER Financing / GlobCred network","International lender","No-collateral student loan","11.18%-14.88% APR average","Not required","N/A","Up to US$100,000","Eligibility based on academic profile and admitting university","globcred.money; mpowerfinancing.com"
"Nepal","NIC Asia Bank","Domestic bank","Abroad Study Loan","11%-12%","Mandatory","Land, land+building, or fixed deposit in student/family name","NPR 0.3 million - 15 million","Repayment starts only after course completion (up to 10 yrs)","nicasiabank.com"
"Nepal","Other Nepali banks (Nabil, etc.)","Domestic bank","Education Loan","10%-13%","Mandatory - every Nepali bank requires collateral for this product","Property/fixed deposit","Varies","No collateral-free domestic option identified","alfabetaglobal.com"
"Bangladesh","Sonali Bank / BRAC Bank / Eastern Bank (EBL)","Domestic bank","Education/Student Loan","10%-13%","Required above BDT 20,00,000","Property collateral ~100-120% of loan value; FD/national savings certificates also accepted","Varies","Grace period typically 3-6 months domestically","bheuni.io; sangenbd.com"
"Bangladesh","MPOWER Financing","International lender","No-collateral student loan","From 9.99% (11.16% APR)","Not required","N/A","US$2,001 - US$100,000","Moratorium of course length + 6-12 months","mpowerfinancing.com"
"Vietnam","Vietcombank / BIDV / VietinBank / Agribank (state banks)","Domestic bank","Personal loan (used for education)","~7.5%-12%","Typically required for this loan size","Property/savings-based","Varies","No dedicated study-abroad-USA product confirmed - verify directly","tienmat.com.vn"
"Vietnam","MPOWER Financing / Prodigy Finance","International lender","No-collateral student loan","Varies by credit profile","Not required (MPOWER); cosigner needed for most other US lenders","N/A","Up to US$100,000 (MPOWER)","Most standard US private lenders require a US-based cosigner - MPOWER/Prodigy do not","internationalstudentloan.com"
"Philippines","Landbank","Domestic bank (government-linked)","i-STUDY Lending Program","5% fixed","Not required","N/A","Up to PHP 300,000 (PHP 150,000/student, max 2 students)","Borrower is parent/guardian/benefactor, not the student","dlsmhsi.edu.ph"
"Philippines","BPI","Domestic bank","SIP Loan for School","Add-on rate from 0.75%/month (~9%/yr equivalent)","Not required (tied to existing credit card)","N/A","Tied to cardholder's credit limit","Only for BPI partner schools; not a study-abroad product","bpi.com.ph"
"Philippines","BDO","Domestic bank","Personal Loan (general use incl. tuition)","Not published","Not required (unsecured)","N/A","Varies","No dedicated study-abroad product","bdo.com.ph"
"Philippines","GlobCred / MPOWER Financing","International lender","No-collateral student loan","From 9.99% (10.89% APR)","Not required","N/A","Up to US$100,000","Assessed on admission + program profile, not assets","globcred.money"
"Kenya","HELB (Higher Education Loans Board - government)","Domestic (government)","Undergraduate Loan","4%","Not required","N/A","Domestic use only","NOT usable for study abroad - Kenyan public universities only","helb.co.ke"
"Kenya","KCB Bank","Domestic bank","Masomo Loan","~14.7%-16% (tier-1 bank average, CBK 2026 data)","Guarantor and 3+ months active account required","N/A","Repay over 24 months","Not a dedicated study-abroad product","ke.kcbgroup.com"
"Kenya","Equity Bank / Co-operative Bank","Domestic bank","General/Education Loan","~15%-16%","Collateral/guarantor typical","Varies","Varies","Rate reflects general commercial lending, not education-specific","thekenyatimes.com"
"Kenya","GlobCred / MPOWER Financing","International lender","No-collateral student loan","Varies by credit profile","Not required","N/A","Up to US$100,000","Preferred route for Kenyan F-1 applicants lacking property collateral","globcred.money"
"Ethiopia","Commercial Bank of Ethiopia (CBE)","Domestic bank","Education Loan","~16.5%-18% (general commercial rate, 2026)","Required","Property collateral","Varies","Rate reflects general lending; education-specific rate not separately published","ethiopianbusinessreview.net"
"Ethiopia","Dashen Bank / Awash Bank","Domestic bank","Education/Consumer Loan","Rising toward ~22% (2026)","Required","Property collateral","Varies","Ethiopian lending rates rose sharply through 2025-2026","thereporterethiopia.com"
"Ethiopia","Credila / MPOWER Financing","International lender","Secured (Credila) or no-collateral (MPOWER) student loan","Credila from 9.95%; MPOWER from ~9.99%","Not required (MPOWER); optional (Credila)","N/A for no-collateral option","Up to US$100,000 (MPOWER)","Credila offers both secured and unsecured variants","credila.com; mpowerfinancing.com"
"Zimbabwe","CBZ Bank / ZB Bank / POSB / NMB / Get Bucks / EduLoan","Domestic bank/lender","Education Loan Facility","Not publicly confirmed - contact bank directly","Required (secured loans typical)","Loan size tied to market value of collateral; ~5-10% margin money typical","Varies","Zimbabwean students cannot access US federal loans - private/domestic only","zimbabwesituation.com"
"Zimbabwe","MPOWER Financing / Prodigy Finance","International lender","No-collateral student loan","From ~9.99%","Not required","N/A","Up to US$100,000","Primary realistic funding route given thin domestic options","mpowerfinancing.com"
"Indonesia","BNI (Bank Negara Indonesia)","Domestic bank","Fleksi Pendidikan","8.4%/year","Not required (unsecured; fixed-income based)","N/A","Up to IDR 500 million","3-year max tenor","bniexperience.bni.co.id"
"Indonesia","BRI (Bank Rakyat Indonesia)","Domestic bank","Briguna Flexi Pendidikan (for S2/S3 students)","8.4%/year (0.7%/month)","Not required (fixed-income based)","N/A","Up to IDR 250 million","6-year tenor for Master's, 10-year for Doctorate","ajaib.co.id"
"Indonesia","Bank Mandiri","Domestic bank","KSM (multi-purpose loan incl. education)","Not published","Varies","Varies","Varies","General-purpose loan, not education-specific","bloombergtechnoz.com"
"Indonesia","BCA","Domestic bank","Personal Loan (KTA, incl. education use)","Not published","Not required (unsecured)","N/A","Varies","No dedicated education/study-abroad product","skorku.id"
"Indonesia","MPOWER Financing / Prodigy Finance","International lender","No-collateral student loan","Varies by credit profile","Not required","N/A","Up to US$100,000","Indonesia's national student loan program (domestic use) targeted to launch Aug-Sept 2026","infopendidikan.bic.id"
"All countries (cross-market)","MPOWER Financing","International lender","No-collateral / no-cosigner student loan","Fixed rate from 9.99% (APR ~10.89%-11.16% depending on program)","Not required","N/A","US$2,001 - US$100,000","10-year repayment term; underwrites on future earning potential rather than assets or credit history","mpowerfinancing.com"
"All countries (cross-market)","Prodigy Finance","International lender","No-collateral / no-cosigner loan (graduate programs)","Varies by school/program","Not required","N/A","Program-dependent","Focused on graduate/professional degree programs at partner universities","prodigyfinance.com"
"All countries (cross-market)","GlobCred","International lender marketplace","Aggregator of 60+ no-collateral lending partners","Varies by matched lender","Not required (for matched no-collateral lenders)","N/A","Up to US$100,000","Matches students to lenders based on admission/program, not assets","globcred.money"
